word,score
txt,2.225719537625956
service,1.9562150470484265
claim,1.8573791164950981
88066,1.7759161292940089
mobile,1.7674569291832185
information,1.6927384297004817
22,1.6246558989111624
ringtone,1.6092044127571865
prize,1.5679760853547944
ken,1.567237839267613
reply,1.5454164337310266
ac,1.544308020677715
stop,1.54032431087651
sexy,1.521534506207244
user,1.489389575974069
